Ticker,Trailing P/E,Forward P/E,P/B,PEG Ratio,ROE,ROA,Debt/Equity,Current Ratio,Quick Ratio,Profit Margin,Operating Margin,Gross Margin,Revenue Growth,Earnings Growth,Trailing EPS,Forward EPS,Market Cap,Enterprise Value,Dividend Yield,Payout Ratio,Beta,Sector,Industry,Shares Outstanding,Float Shares,Book Value Per Share,P/S,EV/Revenue,EV/EBITDA,Insider Ownership,Institutional Ownership,Short Ratio,Most Recent Quarter,Earnings Date
ADI,55.857143,25.026602,5.418561,0.7,0.09639,0.054899998,25.81,1.752,1.232,0.26007998,0.38076,0.64491,0.372,1.105,6.72,14.99844,182832988160,188102410240.0,1.17,0.6057,1.188,Technology,Semiconductors,487087040,485265334.0,69.273,14.350881,14.764,30.589,0.00242,0.94635004,2.12,2026-05-02,2026-05-20
ADM,30.06278,13.796738,1.4155406,0.86,0.04721,0.01706,42.376,1.365,0.287,0.01343,0.01822,0.0627,-0.137,-0.197,2.23,4.85912,32306247680,41264771072.0,3.1,0.91480005,0.636,Consumer Defensive,Farm Products,481895100,477111628.0,47.36,0.40247476,0.514,16.368,0.00659,0.88413,2.87,2025-12-31,2026-05-05
ADM,38.348213,15.933433,1.8156455,2.52,0.047659997,0.01669,46.128,1.311,0.268,0.013409999,0.01274,0.062979996,0.016,0.009,2.24,5.39118,41400066048,51732066304.0,2.42,0.9152,0.609,Consumer Defensive,Farm Products,481956527,477941829.0,47.311,0.51375043,0.642,20.375,0.00661,0.87387,4.82,2026-03-31,2026-08-04
ADP,19.275963,16.75438,12.636787,2.57,0.73843,0.04709,70.044,1.032,0.081,0.19964,0.26283002,0.48351002,0.062,0.115,10.4,11.96523,81079836672,82771312640.0,3.39,0.6071,0.856,Technology,Software - Application,402644364,401750494.0,15.864,3.8219426,3.902,13.375,0.00158,0.8642,3.46,2025-12-31,2026-04-29
ADP,23.812033,20.929571,16.10403,2.4,0.71208,0.05949,69.259,1.043,0.131,0.20118,0.30184,0.48497,0.07,0.105,10.72,12.19638,102038167552,103207772160.0,2.66,0.6045,0.841,Technology,Software - Application,399734282,398830883.0,15.851,4.7239017,4.778,16.279,0.0014399999,0.91936994,4.78,2026-03-31,2026-07-29
ADSK,46.684513,17.301477,16.999235,0.95,0.39675,0.096999995,89.787,0.851,0.695,0.15597999,0.27236,0.92326,0.194,0.063,5.23,14.11209,51553222656,51654758400.0,,0.0,1.322,Technology,Software - Application,211145251,210445070.0,14.363,7.1542077,7.168,27.101,0.00213,0.97247005,2.77,2026-01-31,2026-05-28
ADSK,31.829447,15.312287,14.446871,0.83,0.50396,0.113249995,85.419,0.835,0.669,0.19488001,0.29524,0.92434,0.184,2.314,6.86,14.25979,46103564288,45871849472.0,,0.0,1.318,Technology,Software - Application,211145251,210419750.0,15.114,6.14141,6.111,21.445,0.00223,0.98277,2.53,2026-04-30,2026-05-28
AEE,21.06729,19.469347,2.3246844,2.87,0.11337,0.03053,147.125,0.658,0.307,0.1719,0.24605,0.49244,-0.088,0.195,5.35,5.7891,31181584384,51177807872.0,2.66,0.53080004,0.533,Utilities,Utilities - Regulated Electric,276653219,275036864.0,48.484,3.6814148,6.042,13.761,0.00306,0.85503,5.0,2025-12-31,2026-05-05
AEE,20.06295,19.21434,2.2769024,2.53,0.117469996,0.03086,155.674,0.622,0.288,0.17834999,0.27786,0.50451,0.037,0.196,5.56,5.80556,30871644160,52291641344.0,2.69,0.518,0.481,Utilities,Utilities - Regulated Electric,276751616,275428743.0,48.992,3.6128314,6.12,13.664,0.0031,0.86358,7.05,2026-03-31,2026-07-30
AEP,20.06907,19.467932,2.321655,2.87,0.12486,0.03174,154.237,0.455,0.253,0.16364999,0.22843,0.47522,0.132,-0.126,6.66,6.86565,72652693504,122646544384.0,2.84,0.56159997,0.57,Utilities,Utilities - Regulated Electric,543563480,540066407.0,57.571,3.321114,5.606,13.693,0.0002,0.8468,5.11,2025-12-31,2026-05-05
