Ticker,FiscalDate,Gross Margin (calc),Operating Margin (calc),Net Margin (calc),EBITDA Margin (calc),FCF Margin (calc),ROE (calc),ROA (calc),ROIC (calc),ROCE (calc),P/E (calc),P/S (calc),P/B (calc),P/FCF (calc),EV/EBITDA (calc),EV/Revenue (calc),EV/FCF (calc),Earnings Yield (calc),Debt/Equity (calc),Debt/Assets (calc),Net Debt/EBITDA (calc),Interest Coverage (calc),Current Ratio (calc),Quick Ratio (calc),Asset Turnover (calc),Receivables Turnover (calc),Cash Conversion Cycle (calc),Cash Conversion Ratio (calc),CapEx/Revenue (calc),SBC/Revenue (calc)
ACN,2025-08-31,0.318871,0.151453,0.080356,0.149951,0.216309,0.045326,0.021622,0.051228,0.047543,62.134956,4.992909,2.816325,23.082284,33.234194,4.983495,23.038764,0.016094,0.26231,0.12513,,32.327612,1.420035,,0.269077,1.34678,,2.76821,0.006133,0.02498
ACN,2025-11-30,0.330652,0.169737,0.117999,0.177625,0.080435,0.071647,0.034183,0.066733,0.067699,39.726026,4.68765,2.846247,58.279042,26.340993,4.678812,58.169158,0.025172,0.265716,0.126773,,46.401515,1.410633,,0.289684,1.345279,,0.752454,0.008355,0.025023
ACN,2026-02-28,0.302557,0.138192,0.101155,0.157097,0.203278,0.058481,0.027216,0.051913,0.054661,48.13426,4.868998,2.814951,23.952469,30.935237,4.859818,23.907307,0.020775,0.267452,0.124468,,39.647296,1.336391,,0.269057,1.311207,,2.091583,0.008296,0.039536
ACN,2026-05-31,0.327721,0.169637,0.124958,0.188503,0.192326,0.073344,0.033994,0.065002,0.068234,37.561754,4.693656,2.754938,24.404673,24.852754,4.684806,24.358659,0.026623,0.263049,0.121918,,45.586708,1.339174,,0.27204,1.337704,,1.618739,0.009949,0.024689
ADBE,2025-02-28,0.891145,0.378544,0.316941,0.430697,0.429821,0.138297,0.060457,0.093259,0.107926,52.074477,16.504529,7.201747,38.398566,38.910149,16.758466,38.989364,0.019203,0.501184,0.219095,,36.193548,1.184656,,0.190753,2.896097,,1.370514,0.00455,0.083129
ADBE,2025-05-31,0.891367,0.359101,0.287928,0.404904,0.36506,0.147711,0.060163,0.096369,0.113751,55.769886,16.057701,8.237847,43.986417,40.268241,16.304764,44.663189,0.017931,0.573288,0.233501,0.519344,31.897059,0.993251,,0.208952,3.385014,,1.295683,0.008003,0.0819
ADBE,2025-08-31,0.892786,0.362892,0.295925,0.411156,0.355043,0.150552,0.061626,0.097978,0.115501,53.220585,15.749312,8.012479,44.358832,38.894345,15.991629,45.041335,0.01879,0.563806,0.230785,0.49472,33.641791,1.018725,,0.208249,2.860965,,1.240406,0.012024,0.082999
ADBE,2025-11-30,0.895221,0.365031,0.299645,0.405877,0.504682,0.159683,0.062924,0.103939,0.12075,50.811895,15.225521,8.113815,30.168547,38.089848,15.45978,30.632718,0.01968,0.571969,0.225386,0.309865,35.30303,0.996373,,0.209995,2.642491,,1.702586,0.005489,0.078947
ADBE,2026-02-28,0.896218,0.377931,0.295249,0.415599,0.456549,0.165223,0.063594,0.106782,0.135689,49.924234,14.740056,8.248655,32.285819,36.012741,14.966845,32.782567,0.02003,0.582174,0.224078,,39.444444,0.911853,,0.215392,3.058317,,1.565908,0.005783,0.079556
ADBE,2026-05-31,0.891961,0.338169,0.258688,0.377153,0.318374,0.148637,0.057194,0.094258,0.128983,55.085793,14.250057,8.187782,44.758841,38.364534,14.469308,45.447498,0.018154,0.613388,0.236027,0.691506,35.430769,0.750787,,0.221094,3.320622,,1.264603,0.008764,0.080689
ADI,2025-01-31,0.59026,0.229121,0.161489,0.423594,0.403533,0.011158,0.008158,0.011698,0.011353,467.225946,75.451861,5.213293,186.978106,183.256557,77.626456,192.366994,0.00214,0.21576,0.157749,5.082425,6.787309,1.929681,1.433331,0.050517,2.032111,586.100743,2.879537,0.061481,0.032013
ADI,2025-04-30,0.610443,0.257451,0.215816,0.455003,0.276209,0.016274,0.012035,0.014659,0.01569,320.88911,69.253136,5.222215,250.727483,156.590459,71.249078,257.95369,0.003116,0.20557,0.152016,4.013278,9.378887,2.077027,1.510286,0.055763,1.90982,579.907894,1.438261,0.034192,0.027587
ADI,2025-07-31,0.621365,0.285513,0.180019,0.461851,0.377021,0.015212,0.010759,0.013058,0.018645,352.60683,63.476006,5.363898,168.361942,141.399233,65.305446,173.214295,0.002836,0.254904,0.180289,4.786473,10.591529,2.324431,1.788401,0.059767,1.85439,567.027773,2.24699,0.02748,0.029407
ADI,2025-10-31,0.631256,0.307274,0.256082,0.478102,0.482965,0.023295,0.016414,0.01979,0.021797,232.098728,59.436292,5.40674,123.06541,127.900006,61.149303,126.612273,0.004309,0.25623,0.18054,4.142451,11.063852,2.189925,1.679628,0.064096,2.142031,528.404411,2.159106,0.069943,0.028104
ADI,2026-01-31,0.64709,0.330671,0.262898,0.481832,0.398448,0.02459,0.017312,0.021613,0.023642,220.061707,57.853726,5.4113,145.197505,123.530774,59.521125,149.382236,0.004544,0.256967,0.180913,3.793457,11.954554,1.755527,1.347479,0.065851,2.323408,555.726726,1.647174,0.03459,0.02711
ADI,2026-04-30,0.673333,0.380763,0.324648,0.525293,0.202662,0.034863,0.024533,0.028874,0.032476,155.423971,50.458053,5.418553,248.976274,98.825359,51.912302,256.152009,0.006434,0.25739,0.181126,3.282543,16.120328,1.752285,1.337557,0.075569,1.766051,592.058032,0.741311,0.038003,0.022553
ADM,2024-12-31,0.063169,0.019304,0.026375,0.052703,-0.007908,0.025577,0.010644,0.010798,0.02538,73.01599,1.925764,1.86756,-243.5298,45.65937,2.406366,-304.306272,0.013696,0.52048,0.216591,8.425419,4.726257,1.39021,0.80981,0.403559,4.693886,187.170106,0.567901,0.022886,0.0
ADM,2025-03-31,0.058488,0.012292,0.014622,0.039554,-0.031375,0.013337,0.005524,0.006182,0.015377,140.339207,2.052048,1.871697,-65.402948,64.827151,2.564167,-81.725223,0.007126,0.561644,0.232632,12.783208,3.234177,1.382281,0.809677,0.377795,3.636446,223.333254,-1.159322,0.014424,0.002478
ADM,2025-06-30,0.064726,0.021686,0.010347,0.037749,0.188652,0.009764,0.004212,0.011277,0.015153,189.041397,1.95597,1.845745,10.368161,64.746015,2.444112,12.955689,0.00529,0.473339,0.204189,10.226533,2.218341,1.42342,0.897028,0.40707,4.392198,179.864891,19.625571,0.01441,0.001039
ADM,2025-09-30,0.06234,0.019488,0.005301,0.029256,0.074269,0.004801,0.00208,0.009788,0.009188,383.333945,2.032204,1.840494,27.362899,86.798769,2.539371,34.191716,0.002609,0.409309,0.177337,11.10906,1.960784,1.371808,0.920282,0.392388,4.107258,159.795771,16.75,0.01453,0.001031
ADM,2025-12-31,0.06537,0.017245,0.024574,0.049849,-0.036053,0.020059,0.008704,0.0098,0.01881,90.789619,2.231088,1.821144,-61.883507,55.926558,2.787889,-77.327453,0.011014,0.429244,0.18626,7.994595,4.352113,1.365056,0.834238,0.354196,5.16305,179.586426,-0.686404,0.019185,-0.000539
ADM,2026-03-31,0.059639,0.012738,0.014544,0.040312,-0.002147,0.013068,0.00536,0.006409,0.01629,138.926396,2.020501,1.815474,-940.910592,62.62962,2.524747,-1175.72878,0.007198,0.46733,0.19168,10.578692,3.577181,1.310984,0.797806,0.368538,4.5162,199.860015,0.503356,0.009468,0.003123
ADP,2024-12-31,0.456759,0.257468,0.190793,0.305443,0.201272,0.189677,0.015027,0.109551,0.142021,105.936636,20.211982,20.093769,100.421383,66.93111,20.44366,101.572456,0.00944,0.843386,0.066818,1.145331,10.732253,0.999103,,0.078762,1.440959,,1.194248,0.026583,0.015668
ADP,2025-03-31,0.477003,0.294075,0.225014,0.332019,0.250009,0.213396,0.022135,0.12787,0.160018,81.663199,18.375323,17.426634,73.498644,55.978615,18.585949,74.341117,0.012245,0.728639,0.07558,0.706514,22.683155,1.015081,,0.098373,1.565151,,1.221128,0.024761,0.011309
ADP,2025-06-30,0.450554,0.23539,0.177635,0.282847,0.254272,0.147172,0.017064,0.061814,0.107882,112.043667,19.902896,16.489684,78.274139,71.172865,20.131031,79.17135,0.008925,1.464997,0.169862,3.721399,11.472296,1.047819,,0.096063,1.432427,,1.580323,0.026449,0.012405
