Ticker,GICS_Sector,Source
DRI,Consumer Discretionary,gics-constituents
DTE,Utilities,gics-constituents
DUK,Utilities,gics-constituents
DVA,Health Care,gics-constituents
DVN,Energy,gics-constituents
DXC,Information Technology,manual-delisted-besteffort
DXCM,Health Care,gics-constituents
EA,Communication Services,gics-constituents
EBAY,Consumer Discretionary,gics-constituents
EC,Materials,manual-delisted-besteffort
ECH,Consumer Discretionary,manual-delisted-besteffort
ECHO,Communication Services,gics-constituents
ECL,Materials,gics-constituents
ED,Utilities,gics-constituents
EFU,Energy,manual-delisted-besteffort
EFX,Industrials,gics-constituents
EG,Financials,gics-constituents
EHC,Health Care,manual-delisted-besteffort
EIX,Utilities,gics-constituents
EL,Consumer Staples,gics-constituents
ELV,Health Care,gics-constituents
EME,Industrials,gics-constituents
EMN,Materials,manual-delisted-besteffort
EMR,Industrials,gics-constituents
ENS,Industrials,manual-delisted-besteffort
EOG,Energy,gics-constituents
EP,Energy,manual-delisted-besteffort
EPAM,Information Technology,manual-gics
EQIX,Real Estate,gics-constituents
EQR,Real Estate,gics-constituents
EQT,Energy,gics-constituents
ERIE,Financials,gics-constituents
ES,Utilities,gics-constituents
ESRX,Health Care,manual-delisted-besteffort
ESS,Real Estate,gics-constituents
ETN,Industrials,gics-constituents
ETR,Utilities,gics-constituents
EVRG,Utilities,gics-constituents
EW,Health Care,gics-constituents
EXC,Utilities,gics-constituents
EXE,Energy,gics-constituents
EXPD,Industrials,gics-constituents
EXPE,Consumer Discretionary,gics-constituents
EXR,Real Estate,gics-constituents
F,Consumer Discretionary,gics-constituents
FANG,Energy,gics-constituents
FAST,Industrials,gics-constituents
FCN,Industrials,manual-delisted-besteffort
FCX,Materials,gics-constituents
FDS,Financials,gics-constituents
FDX,Industrials,gics-constituents
FDXF,Industrials,gics-constituents
FE,Utilities,gics-constituents
FFIV,Information Technology,gics-constituents
FHN,Financials,manual-delisted-besteffort
FICO,Information Technology,gics-constituents
FIS,Financials,gics-constituents
FISV,Financials,gics-constituents
FITB,Financials,gics-constituents
FIX,Industrials,gics-constituents
FLEX,Information Technology,gics-constituents
FLR,Industrials,manual-delisted-besteffort
FLS,Industrials,manual-delisted-besteffort
FMC,Materials,manual-delisted-besteffort
FMCC,Financials,manual-delisted-besteffort
FMY,Materials,manual-delisted-besteffort
FNMA,Financials,manual-delisted-besteffort
FOX,Communication Services,gics-constituents
FOXA,Communication Services,gics-constituents
FRO,Energy,manual-delisted-besteffort
FRT,Real Estate,gics-constituents
FSH,Health Care,manual-delisted-besteffort
FSLR,Information Technology,gics-constituents
FTI,Energy,manual-delisted-besteffort
FTNT,Information Technology,gics-constituents
FTV,Industrials,gics-constituents
G,Industrials,manual-delisted-besteffort
GD,Industrials,gics-constituents
GDDY,Information Technology,gics-constituents
GDW,Financials,manual-delisted-besteffort
GE,Industrials,gics-constituents
GEHC,Health Care,gics-constituents
GEN,Information Technology,gics-constituents
GENZ,Health Care,manual-delisted-besteffort
GEV,Industrials,gics-constituents
GHC,Consumer Discretionary,manual-delisted-besteffort
GILD,Health Care,gics-constituents
GIS,Consumer Staples,gics-constituents
GL,Financials,gics-constituents
GLD,Materials,manual-delisted-besteffort
GLK,Materials,manual-delisted-besteffort
GLW,Information Technology,gics-constituents
GM,Consumer Discretionary,gics-constituents
GME,Consumer Discretionary,manual-delisted-besteffort
GNRC,Industrials,gics-constituents
GNW,Financials,manual-delisted-besteffort
GOOG,Communication Services,gics-constituents
GOOGL,Communication Services,gics-constituents
GPC,Consumer Discretionary,gics-constituents
GPN,Financials,gics-constituents
GR,Industrials,manual-delisted-besteffort
GRMN,Consumer Discretionary,gics-constituents
GS,Financials,gics-constituents
GT,Consumer Discretionary,manual-delisted-besteffort
GTE,Communication Services,manual-delisted-besteffort
GWW,Industrials,gics-constituents
H,Consumer Discretionary,manual-delisted-besteffort
HAL,Energy,gics-constituents
HAS,Consumer Discretionary,gics-constituents
HBAN,Financials,gics-constituents
HCA,Health Care,gics-constituents
HD,Consumer Discretionary,gics-constituents
HIG,Financials,gics-constituents
HII,Industrials,gics-constituents
HLT,Consumer Discretionary,gics-constituents
HOG,Consumer Discretionary,manual-delisted-besteffort
HOLX,Health Care,manual-gics
HON,Industrials,gics-constituents
HONA,Industrials,gics-constituents
HOOD,Financials,gics-constituents
HP,Energy,manual-delisted-besteffort
HPE,Information Technology,gics-constituents
HPQ,Information Technology,gics-constituents
HRB,Consumer Discretionary,manual-delisted-besteffort
HRL,Consumer Staples,gics-constituents
HSIC,Health Care,gics-constituents
HST,Real Estate,gics-constituents
HSY,Consumer Staples,gics-constituents
HUBB,Industrials,gics-constituents
HUM,Health Care,gics-constituents
HWM,Industrials,gics-constituents
IBKR,Financials,gics-constituents
IBM,Information Technology,gics-constituents
ICE,Financials,gics-constituents
IDXX,Health Care,gics-constituents
IEX,Industrials,gics-constituents
IFF,Materials,gics-constituents
INCY,Health Care,gics-constituents
INGR,Consumer Staples,manual-delisted-besteffort
INTC,Information Technology,gics-constituents
INTU,Information Technology,gics-constituents
INVH,Real Estate,gics-constituents
IP,Materials,gics-constituents
IQV,Health Care,gics-constituents
